"","reference_date","location","relative_horizon","wis.x","wis.y","abbreviation","location_name","population","diff","diff_pop"
"1",2021-07-10,"01",1,7.99689130434782,3.74782608695652,"AL","Alabama",4903185,4.2490652173913,0.0866592881441614
"2",2021-07-10,"01",2,13.3263565555873,3.61304347826087,"AL","Alabama",4903185,9.71331307732644,0.19810211275582
"3",2021-07-10,"01",3,18.1464733303637,5.56521739130435,"AL","Alabama",4903185,12.5812559390594,0.25659353948626
"4",2021-07-10,"01",4,28.3370753308185,25.7095652173913,"AL","Alabama",4903185,2.62751011342721,0.0535878232909263
"5",2021-07-10,"02",1,0.811521739130435,0.417826086956522,"AK","Alaska",731545,0.393695652173914,0.0538170108706797
"6",2021-07-10,"02",2,1.47050142377511,0.62695652173913,"AK","Alaska",731545,0.843544902035978,0.115310049557577
"7",2021-07-10,"02",3,2.08162534860131,1.39739130434783,"AK","Alaska",731545,0.684234044253486,0.0935327347262965
"8",2021-07-10,"02",4,3.25148321785392,4.03086956521739,"AK","Alaska",731545,-0.779386347363473,-0.10653976821159
"9",2021-07-10,"04",1,13.2487217391304,5.15652173913043,"AZ","Arizona",7278717,8.0922,0.111176186682351
"10",2021-07-10,"04",2,19.0038705477055,4.3195652173913,"AZ","Arizona",7278717,14.6843053303142,0.201743045241547
"11",2021-07-10,"04",3,24.5148440240055,5.07478260869565,"AZ","Arizona",7278717,19.4400614153098,0.267080879986264
"12",2021-07-10,"04",4,40.0076169531913,39.6678260869565,"AZ","Arizona",7278717,0.339790866234758,0.00466827967394195
"13",2021-07-10,"05",1,6.16375652173913,4.63130434782609,"AR","Arkansas",3017804,1.53245217391304,0.0507803745343648
"14",2021-07-10,"05",2,12.428970078179,9.37130434782609,"AR","Arkansas",3017804,3.05766573035295,0.101320885330954
"15",2021-07-10,"05",3,31.1728155218074,40.3860869565217,"AR","Arkansas",3017804,-9.21327143471437,-0.305297210644375
"16",2021-07-10,"05",4,63.7819841917115,92.6026086956522,"AR","Arkansas",3017804,-28.8206245039407,-0.955019759531788
"17",2021-07-10,"06",1,42.3984456521739,15.6565217391304,"CA","California",39512223,26.7419239130435,0.0676801300525244
"18",2021-07-10,"06",2,82.5277413467179,69.2908695652174,"CA","California",39512223,13.2368717815005,0.0335007012425004
"19",2021-07-10,"06",3,83.5514470517315,62.8330434782609,"CA","California",39512223,20.7184035734706,0.0524354288379842
"20",2021-07-10,"06",4,94.9547883803186,36.9730434782609,"CA","California",39512223,57.9817449020578,0.146743818747069
"21",2021-07-10,"08",1,6.83460434782609,2.92173913043478,"CO","Colorado",5758736,3.9128652173913,0.0679465983054494
"22",2021-07-10,"08",2,10.8495312623996,5.12086956521739,"CO","Colorado",5758736,5.72866169718218,0.0994777620849815
"23",2021-07-10,"08",3,14.8793667054714,10.7178260869565,"CO","Colorado",5758736,4.16154061851489,0.0722648271862938
"24",2021-07-10,"08",4,18.0649972451246,15.2208695652174,"CO","Colorado",5758736,2.84412767990724,0.0493880545992599
"25",2021-07-10,"09",1,3.14453043478261,0.768695652173913,"CT","Connecticut",3565287,2.3758347826087,0.0666379672270057
"26",2021-07-10,"09",2,6.00876250671202,0.851304347826087,"CT","Connecticut",3565287,5.15745815888594,0.144657587422441
"27",2021-07-10,"09",3,8.55527461028958,1.84652173913043,"CT","Connecticut",3565287,6.70875287115915,0.18816866275167
"28",2021-07-10,"09",4,10.3386793591849,0.869130434782609,"CT","Connecticut",3565287,9.4695489244023,0.26560411334073
"29",2021-07-10,"10",1,1.1355037565593,0.611739130434783,"DE","Delaware",973764,0.523764626124522,0.0537876350044284
"30",2021-07-10,"10",2,1.53831753530579,0.755652173913043,"DE","Delaware",973764,0.782665361392745,0.0803752614999882
"31",2021-07-10,"10",3,118.883251101728,129.329565217391,"DE","Delaware",973764,-10.4463141156629,-1.07277678325168
"32",2021-07-10,"10",4,2.33305052552699,0.741304347826087,"DE","Delaware",973764,1.59174617770091,0.163463239316806
"33",2021-07-10,"12",1,34.1078391304348,14.7813043478261,"FL","Florida",21477737,19.3265347826087,0.089984036877855
"34",2021-07-10,"12",2,58.5939470683837,23.8486956521739,"FL","Florida",21477737,34.7452514162098,0.161773334947764
"35",2021-07-10,"12",3,128.989260730977,84.8391304347826,"FL","Florida",21477737,44.1501302961942,0.205562300610135
"36",2021-07-10,"12",4,277.473646410594,257.89347826087,"FL","Florida",21477737,19.5801681497248,0.0911649497790426
"37",2021-07-10,"13",1,17.8570847826087,10.1034782608696,"GA","Georgia",10617423,7.75360652173913,0.0730271980473899
"38",2021-07-10,"13",2,19.8138728290544,5.0204347826087,"GA","Georgia",10617423,14.7934380464457,0.139331719631456
"39",2021-07-10,"13",3,24.8406621066863,7.47826086956522,"GA","Georgia",10617423,17.3624012371211,0.163527451408134
"40",2021-07-10,"13",4,41.8534892542186,32.7217391304348,"GA","Georgia",10617423,9.1317501237838,0.0860072177945986
"41",2021-07-10,"15",1,0.857686660888348,0.57304347826087,"HI","Hawaii",1415872,0.284643182627479,0.020103736964039
"42",2021-07-10,"15",2,1.26870032537282,0.656521739130435,"HI","Hawaii",1415872,0.612178586242384,0.0432368594224891
"43",2021-07-10,"15",3,3.43864016661906,4.51391304347826,"HI","Hawaii",1415872,-1.0752728768592,-0.0759442150744702
"44",2021-07-10,"15",4,2.07628599449038,0.911739130434783,"HI","Hawaii",1415872,1.1645468640556,0.0822494451515105
"45",2021-07-10,"16",1,1.92643043478261,1.06608695652174,"ID","Idaho",1787065,0.860343478260869,0.0481428195538981
