"","reference_date","location","relative_horizon","wis.x","wis.y","abbreviation","location_name","population","diff","diff_pop"
"1",2021-07-10,"01",1,4.86652173913044,3.06942608695652,"AL","Alabama",4903185,1.79709565217391,0.0366515979342797
"2",2021-07-10,"01",2,5.06826086956522,4.23677826086956,"AL","Alabama",4903185,0.831482608695653,0.016958010123943
"3",2021-07-10,"01",3,7.45260869565217,4.75616086956522,"AL","Alabama",4903185,2.69644782608696,0.0549938015001872
"4",2021-07-10,"01",4,23.4134782608696,25.9859,"AL","Alabama",4903185,-2.57242173913044,-0.0524643010437183
"5",2021-07-10,"02",1,0.500434782608696,0.614991304347826,"AK","Alaska",731545,-0.114556521739131,-0.0156595317771471
"6",2021-07-10,"02",2,0.692173913043478,0.682621739130435,"AK","Alaska",731545,0.00955217391304342,0.00130575342775132
"7",2021-07-10,"02",3,1.39608695652174,1.37781739130435,"AK","Alaska",731545,0.0182695652173912,0.00249739458507559
"8",2021-07-10,"02",4,3.71304347826087,3.81165652173913,"AK","Alaska",731545,-0.0986130434782617,-0.0134801062789386
"9",2021-07-10,"04",1,7.4095652173913,5.25960434782609,"AZ","Arizona",7278717,2.14996086956522,0.0295376351294496
"10",2021-07-10,"04",2,7.66217391304348,4.71672608695652,"AZ","Arizona",7278717,2.94544782608696,0.0404665798393722
"11",2021-07-10,"04",3,10.5504347826087,6.43771739130435,"AZ","Arizona",7278717,4.11271739130435,0.056503328695213
"12",2021-07-10,"04",4,43.3091304347826,44.5701739130435,"AZ","Arizona",7278717,-1.26104347826085,-0.0173250791074973
"13",2021-07-10,"05",1,5.28478260869565,4.04544782608696,"AR","Arkansas",3017804,1.2393347826087,0.0410674378657029
"14",2021-07-10,"05",2,11.0839130434783,5.72441304347826,"AR","Arkansas",3017804,5.3595,0.177596026779738
"15",2021-07-10,"05",3,35.4008695652174,32.7814304347826,"AR","Arkansas",3017804,2.61943913043478,0.0867995115134972
"16",2021-07-10,"05",4,83.08,82.1873608695652,"AR","Arkansas",3017804,0.892639130434787,0.0295790956084221
"17",2021-07-10,"06",1,16.3317391304348,47.0299217391304,"CA","California",39512223,-30.6981826086957,-0.0776928764769718
