"","reference_date","location","relative_horizon","wis.x","wis.y","abbreviation","location_name","population","diff","diff_pop"
"1",2021-07-10,"01",1,7.99689130434782,7.59264524513254,"AL","Alabama",4903185,0.404246059215283,0.00824456061142468
"2",2021-07-10,"01",2,13.3263565555873,1.11453634520096,"AL","Alabama",4903185,12.2118202103864,0.249058932314125
"3",2021-07-10,"01",3,18.1464733303637,1.96213700294178,"AL","Alabama",4903185,16.1843363274219,0.330078027392847
"4",2021-07-10,"01",4,28.3370753308185,15.9200456122915,"AL","Alabama",4903185,12.417029718527,0.253244161061167
"5",2021-07-10,"01",5,48.5462577633602,46.8200279585014,"AL","Alabama",4903185,1.72622980485878,0.0352062955988563
"6",2021-07-10,"02",1,0.811521739130435,0.586057871098331,"AK","Alaska",731545,0.225463868032104,0.0308202322525756
"7",2021-07-10,"02",2,1.47050142377511,0.122515412804289,"AK","Alaska",731545,1.34798601097082,0.184265631091843
"8",2021-07-10,"02",3,2.08162534860131,1.76372923664155,"AK","Alaska",731545,0.317896111959763,0.0434554418333476
"9",2021-07-10,"02",4,3.25148321785392,3.52725092366858,"AK","Alaska",731545,-0.275767705814665,-0.0376966154938746
"10",2021-07-10,"02",5,2.57828137244416,0.801393313279819,"AK","Alaska",731545,1.77688805916434,0.242895250348829
"11",2021-07-10,"04",1,13.2487217391304,3.28523856812678,"AZ","Arizona",7278717,9.96348317100365,0.136885156697309
"12",2021-07-10,"04",2,19.0038705477055,1.21395330135426,"AZ","Arizona",7278717,17.7899172463512,0.244410069059577
"13",2021-07-10,"04",3,24.5148440240055,1.26601907302396,"AZ","Arizona",7278717,23.2488249509815,0.319408282407208
"14",2021-07-10,"04",4,40.0076169531913,44.7736542527344,"AZ","Arizona",7278717,-4.76603729954309,-0.0654790851127072
"15",2021-07-10,"04",5,32.4071881885558,2.56701627386774,"AZ","Arizona",7278717,29.8401719146881,0.409964722006475
"16",2021-07-10,"05",1,6.16375652173913,11.6959181791027,"AR","Arkansas",3017804,-5.53216165736353,-0.183317460556204
"17",2021-07-10,"05",2,12.428970078179,19.7756553052976,"AR","Arkansas",3017804,-7.3466852271186,-0.243444744162265
"18",2021-07-10,"05",3,31.1728155218074,54.1988534627176,"AR","Arkansas",3017804,-23.0260379409102,-0.763006409326458
"19",2021-07-10,"05",4,63.7819841917115,105.91339311117,"AR","Arkansas",3017804,-42.1314089194586,-1.39609493921602
"20",2021-07-10,"05",5,64.6232307105244,107.942653055464,"AR","Arkansas",3017804,-43.3194223449391,-1.4354617577861
"21",2021-07-10,"06",1,42.3984456521739,13.1616856909633,"CA","California",39512223,29.2367599612106,0.0739942168306011
"22",2021-07-10,"06",2,82.5277413467179,84.6379502289903,"CA","California",39512223,-2.11020888227239,-0.0053406483413307
"23",2021-07-10,"06",3,83.5514470517315,95.2734870289535,"CA","California",39512223,-11.722039977222,-0.0296668703687514
"24",2021-07-10,"06",4,94.9547883803186,34.3209223962443,"CA","California",39512223,60.6338659840743,0.153455972305264
"25",2021-07-10,"06",5,277.28430892335,482.803529432036,"CA","California",39512223,-205.519220508686,-0.520140870101603
"26",2021-07-10,"08",1,6.83460434782609,4.38962239760846,"CO","Colorado",5758736,2.44498195021763,0.0424569202376638
"27",2021-07-10,"08",2,10.8495312623996,7.94732244383155,"CO","Colorado",5758736,2.90220881856802,0.0503966290270647
"28",2021-07-10,"08",3,14.8793667054714,16.2149896886689,"CO","Colorado",5758736,-1.33562298319745,-0.02319298858634
"29",2021-07-10,"08",4,18.0649972451246,23.2456944767798,"CO","Colorado",5758736,-5.18069723165519,-0.0899624020211239
"30",2021-07-10,"08",5,23.8384266059617,42.1374842147321,"CO","Colorado",5758736,-18.2990576087704,-0.317761703414958
"31",2021-07-10,"09",1,3.14453043478261,0.0734721239460837,"CT","Connecticut",3565287,3.07105831083652,0.0861377586386881
"32",2021-07-10,"09",2,6.00876250671202,0.712890287571498,"CT","Connecticut",3565287,5.29587221914052,0.148539857215998
"33",2021-07-10,"09",3,8.55527461028958,3.49835519932227,"CT","Connecticut",3565287,5.05691941096731,0.141837653209049
"34",2021-07-10,"09",4,10.3386793591849,0.720981707184586,"CT","Connecticut",3565287,9.61769765200033,0.26975942335078
"35",2021-07-10,"09",5,12.4547490113814,7.6527664574683,"CT","Connecticut",3565287,4.80198255391311,0.13468712487699
"36",2021-07-10,"10",1,1.1355037565593,0.0333107979013687,"DE","Delaware",973764,1.10219295865794,0.113188920380907
"37",2021-07-10,"10",2,1.53831753530579,0.0352889754415855,"DE","Delaware",973764,1.5030285598642,0.154352446780144
"38",2021-07-10,"10",3,118.883251101728,132.734492159839,"DE","Delaware",973764,-13.8512410581102,-1.42244332899042
"39",2021-07-10,"10",4,2.33305052552699,0.0447341783188861,"DE","Delaware",973764,2.28831634720811,0.234997016444242
"40",2021-07-10,"10",5,2.67360381603816,0.71657134279028,"DE","Delaware",973764,1.95703247324788,0.200976055106564
"41",2021-07-10,"12",1,34.1078391304348,24.5512789715008,"FL","Florida",21477737,9.55656015893399,0.0444951912714733
"42",2021-07-10,"12",2,58.5939470683837,61.945870570922,"FL","Florida",21477737,-3.35192350253826,-0.0156065022238528
"43",2021-07-10,"12",3,128.989260730977,93.876653192775,"FL","Florida",21477737,35.1126075382018,0.163483739176999
"44",2021-07-10,"12",4,277.473646410594,156.231567602404,"FL","Florida",21477737,121.24207880819,0.564501180027441
"45",2021-07-10,"12",5,700.68483904213,202.595056475614,"FL","Florida",21477737,498.089782566516,2.3190980621772
